[-3.69705039] , [1.65820587]
[-3.59179507] , [0.72045097]
[-3.52886916] , [-1.34417512]
[-3.36178114] , [0.03494729]
[-3.35830126] , [-0.2276312]
[-3.20068364] , [0.97137108]
[-2.81677403] , [1.03820728]
[-2.76807528] , [-0.38468877]
[-2.75186753] , [1.07979906]
[-2.62692281] , [-1.10208068]
[-2.4424725] , [-0.93211942]
[-2.37774262] , [-0.6281815]
[-2.25683625] , [1.90226014]
[-1.99842334] , [0.53467101]
[-1.7365677] , [1.00029339]
[-1.63067925] , [-0.72093268]
[-1.59300548] , [-0.03398737]
[-1.46390908] , [-1.0318614]
[-1.42410729] , [-1.31457994]
[-1.35911723] , [0.58850249]
[-1.17206006] , [-0.20612474]
[-0.94859453] , [1.03923254]
[-0.89366021] , [0.1315085]
[-0.75698736] , [-0.79435505]
[-0.71603538] , [0.96474769]
[-0.69812441] , [2.13482946]
[-0.6654469] , [0.45658502]
[-0.53155391] , [0.9516606]
[-0.53120142] , [0.68054046]
[-0.37095083] , [0.36094497]
[-0.32624334] , [1.40602743]
[-0.26691939] , [2.17420021]
[-0.16421188] , [2.54504431]
[-0.16068756] , [0.6144281]
[-0.06429746] , [1.35172148]
[-0.02466905] , [0.11221383]
[-0.023472] , [1.1522783]
[0.00142115] , [1.02148336]
[0.02951719] , [0.52135775]
[0.05896906] , [0.52419275]
[0.08066391] , [2.26728661]
[0.12549623] , [3.28439595]
[0.24112183] , [1.2046968]
[0.24216727] , [1.26253868]
[0.25394701] , [-0.01608071]
[0.2639624] , [3.98040223]
[0.40608378] , [4.0307166]
[0.44220322] , [3.3472179]
[0.62815555] , [0.87817793]
[0.71342522] , [4.06267061]
[1.02011605] , [5.09597013]
[1.10055479] , [5.71093754]
[1.19223674] , [4.39513891]
[1.28018935] , [5.59737694]
[1.39721861] , [7.02713125]
[1.44996722] , [6.78700483]
[1.61599657] , [8.34183511]
[1.63743866] , [10.83604815]
[1.69285857] , [8.40234061]
[1.81969459] , [11.96746461]
[1.95465997] , [12.63316024]
[1.96806525] , [13.37026566]
[2.00578446] , [14.20816601]
[2.06530724] , [13.4687371]
[2.25305771] , [18.94447602]
[2.39077947] , [20.8235268]
[2.52592556] , [24.16470888]
[2.65524447] , [25.89996268]
[2.69956378] , [28.97093047]
[2.74637158] , [30.70815003]
[2.84587024] , [32.92030058]
[3.00349685] , [42.43053752]
[3.15648669] , [47.81844965]
[3.31113137] , [57.40314591]
[3.32466476] , [58.29655937]
[3.4434196] , [65.80811758]
[3.59713522] , [76.99809619]
[3.75109543] , [92.03242142]
[3.77220469] , [94.81540443]
[3.88548284] , [107.36133937]
