[-3.69705039] , [-0.58256062]
[-3.59179507] , [-0.10324915]
[-3.52886916] , [-0.91803025]
[-3.36178114] , [0.1980506]
[-3.35830126] , [-0.26904588]
[-3.20068364] , [-0.34671829]
[-2.81677403] , [-0.57755799]
[-2.76807528] , [-1.15349225]
[-2.75186753] , [-0.083979]
[-2.62692281] , [0.08969132]
[-2.4424725] , [1.12317238]
[-2.37774262] , [1.88693637]
[-2.25683625] , [-1.01427219]
[-1.99842334] , [1.35284211]
[-1.7365677] , [0.37012967]
[-1.63067925] , [0.55511792]
[-1.59300548] , [0.30154759]
[-1.46390908] , [-1.98652398]
[-1.42410729] , [0.1312494]
[-1.35911723] , [-0.47399224]
[-1.17206006] , [0.14496689]
[-0.94859453] , [0.16838027]
[-0.89366021] , [1.34289664]
[-0.75698736] , [0.52730481]
[-0.71603538] , [1.13528876]
[-0.69812441] , [0.32166815]
[-0.6654469] , [0.55998575]
[-0.53155391] , [3.30445492]
[-0.53120142] , [1.46533582]
[-0.37095083] , [-1.545048]
[-0.32624334] , [0.38312672]
[-0.26691939] , [0.58041078]
[-0.16421188] , [3.06285652]
[-0.16068756] , [0.03564835]
[-0.06429746] , [0.07378025]
[-0.02466905] , [2.44096555]
[-0.023472] , [0.94207593]
[0.00142115] , [2.02202504]
[0.02951719] , [2.13205022]
[0.05896906] , [1.06085175]
[0.08066391] , [0.62324945]
[0.12549623] , [0.66755476]
[0.24112183] , [1.94224535]
[0.24216727] , [2.35543188]
[0.25394701] , [0.74198447]
[0.2639624] , [2.52206727]
[0.40608378] , [2.25096148]
[0.44220322] , [4.62545126]
[0.62815555] , [3.99949604]
[0.71342522] , [4.18546039]
[1.02011605] , [6.22117742]
[1.10055479] , [7.45163068]
[1.19223674] , [6.84323658]
[1.28018935] , [7.11863502]
[1.39721861] , [7.90982825]
[1.44996722] , [9.29200664]
[1.61599657] , [10.35365398]
[1.63743866] , [10.92732645]
[1.69285857] , [13.98071159]
[1.81969459] , [15.38189868]
[1.95465997] , [17.58313879]
[1.96806525] , [21.25837822]
[2.00578446] , [20.14890649]
[2.06530724] , [19.95193914]
[2.25305771] , [27.37628092]
[2.39077947] , [35.31083524]
[2.52592556] , [39.86298356]
[2.65524447] , [47.1138568]
[2.69956378] , [49.82800171]
[2.74637158] , [51.9543283]
[2.84587024] , [61.40869701]
[3.00349685] , [74.73715026]
[3.15648669] , [91.05790409]
[3.31113137] , [110.61581254]
[3.32466476] , [113.76383811]
[3.4434196] , [132.47255703]
[3.59713522] , [163.31351343]
[3.75109543] , [196.37346216]
[3.77220469] , [199.77780315]
[3.88548284] , [233.94830847]
