{'alpha': 0.1, 'teta_0_cova': 1.4532592273338976, 'teta_1_cova': [0.11733256338289311], 'TSE': 0.7589847477829602, 'TE': 0.9972485471876386}
{'alpha': 0.30000000000000004, 'teta_0_cova': 1.7965706086032758, 'teta_1_cova': [0.506110388079241], 'TSE': 1.215867575632259, 'TE': 1.0222826522264612}
{'alpha': 0.5, 'teta_0_cova': 2.361963542075457, 'teta_1_cova': [1.0481869411754217], 'TSE': 2.3497284747360303, 'TE': 2.7422696179596007}
{'alpha': 0.7000000000000001, 'teta_0_cova': 3.6942859221400113, 'teta_1_cova': [2.11152629516883], 'TSE': 10.420385686638019, 'TE': 10.669860539026226}
{'alpha': 0.9, 'teta_0_cova': 6.160481199063817, 'teta_1_cova': [4.340456126694817], 'TSE': 52.532660465976484, 'TE': 61.16725184952145}
{'alpha': 1.1, 'teta_0_cova': 10.720594003023216, 'teta_1_cova': [8.289613374491958], 'TSE': 262.7934596519144, 'TE': 305.8559762777983}
{'alpha': 1.3000000000000003, 'teta_0_cova': 19.66024739923717, 'teta_1_cova': [16.304815103792645], 'TSE': 1281.6925518303844, 'TE': 1476.6650973144951}
{'alpha': 1.5000000000000002, 'teta_0_cova': 37.291859875076, 'teta_1_cova': [32.17412713174383], 'TSE': 6086.073573392646, 'TE': 6826.156365373902}
{'alpha': 1.7000000000000002, 'teta_0_cova': 72.01078717632629, 'teta_1_cova': [64.28807564711725], 'TSE': 28409.30374722642, 'TE': 31619.33643744108}
{'alpha': 1.9000000000000001, 'teta_0_cova': 141.10434700504152, 'teta_1_cova': [129.17029689666225], 'TSE': 132369.9925699043, 'TE': 144766.8367543278}
{'alpha': 2.1, 'teta_0_cova': 280.25913917188547, 'teta_1_cova': [261.9467962568246], 'TSE': 612608.3307908702, 'TE': 659412.4067923843}
